id,name,chamber,party,state,electorate,occupation,sector_hint,source
298800,"MASCARENHAS, Zaneta Felice Antoinetta",Member,Australian Labor Party,WA,Swan,"President of the Curtin University Student Guild, 2002.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/298800
121628,"McALLISTER, the Hon. Jennifer (Jenny) Ryll",Senator,Australian Labor Party,NSW,,Director at AECOM from 2010 to 2015.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/121628
121628,"McALLISTER, the Hon. Jennifer (Jenny) Ryll",Senator,Australian Labor Party,NSW,,Public Servant (NSW) from 2006 to 2010.,Public service / defence (explicit role),https://handbook.aph.gov.au/parliamentarians/121628
121628,"McALLISTER, the Hon. Jennifer (Jenny) Ryll",Senator,Australian Labor Party,NSW,,Adviser to the Minister for Environment (NSW) from 2002 to 2006.,Political employment,https://handbook.aph.gov.au/parliamentarians/121628
281988,"McBAIN, the Hon. Kristy Louise",Member,Australian Labor Party,NSW,Eden-Monaro,Small Business Owner from 2012 to 2020.,Private enterprise (explicit role),https://handbook.aph.gov.au/parliamentarians/281988
281988,"McBAIN, the Hon. Kristy Louise",Member,Australian Labor Party,NSW,Eden-Monaro,Lawyer from 2005 to 2018.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/281988
281988,"McBAIN, the Hon. Kristy Louise",Member,Australian Labor Party,NSW,Eden-Monaro,Paralegal from 2004 to 2005.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/281988
281988,"McBAIN, the Hon. Kristy Louise",Member,Australian Labor Party,NSW,Eden-Monaro,Library Assistant from 2002 to 2005.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/281988
281988,"McBAIN, the Hon. Kristy Louise",Member,Australian Labor Party,NSW,Eden-Monaro,Waitress from 2000 to 2004.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/281988
281988,"McBAIN, the Hon. Kristy Louise",Member,Australian Labor Party,NSW,Eden-Monaro,Pharmacy Assistant from 1995 to 2003.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/281988
248353,"McBRIDE, the Hon. Emma Margaret",Member,Australian Labor Party,NSW,Dobell,"Board member of the Central Coast Heart Netball Premier League (NSW), 2016.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/248353
248353,"McBRIDE, the Hon. Emma Margaret",Member,Australian Labor Party,NSW,Dobell,"Deputy Director of Pharmacy at Wyong Hospital (NSW), 2016.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/248353
248353,"McBRIDE, the Hon. Emma Margaret",Member,Australian Labor Party,NSW,Dobell,Director (volunteer) at Wyong Community Bendigo Bank from 2009 to 2013.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/248353
248353,"McBRIDE, the Hon. Emma Margaret",Member,Australian Labor Party,NSW,Dobell,Chief Pharmacist at Wyong Hospital (NSW) from 2008 to 2016.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/248353
248353,"McBRIDE, the Hon. Emma Margaret",Member,Australian Labor Party,NSW,Dobell,Specialist Mental Health Pharmacist at Wyong Hospital (NSW) from 2006 to 2015.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/248353
122087,"McCARTHY, the Hon. Malarndirri Barbara Anne",Senator,Australian Labor Party,NT,,"Freelance journalist for Malarndirri Media, 2016.",Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/122087
122087,"McCARTHY, the Hon. Malarndirri Barbara Anne",Senator,Australian Labor Party,NT,,Presenter for SBS/NITV News from 2012 to 2016.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/122087
122087,"McCARTHY, the Hon. Malarndirri Barbara Anne",Senator,Australian Labor Party,NT,,Journalist for ABC News and Current Affairs from 1989 to 2005.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/122087
219646,"McCORMACK, the Hon. Michael Francis",Member,The Nationals,NSW,Riverina,Publisher for MSS Media Services and Solutions from 2002 to 2010.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/219646
219646,"McCORMACK, the Hon. Michael Francis",Member,The Nationals,NSW,Riverina,Editor of the Riverina Media Group from 1996 to 2002.,Employer sector not determined,https://handbook.aph.gov.au/parliamentarians/219646
